Borough_code,Borough_name,Age_code,Age_desc,Value
E09000005,Brent,50,Aged 50 years,4527
E09000005,Brent,51,Aged 51 years,4675
E09000005,Brent,52,Aged 52 years,4876
E09000005,Brent,53,Aged 53 years,4495
E09000005,Brent,54,Aged 54 years,4209
E09000005,Brent,55,Aged 55 years,4118
E09000005,Brent,56,Aged 56 years,4271
E09000005,Brent,57,Aged 57 years,3925
E09000005,Brent,58,Aged 58 years,3772
E09000005,Brent,59,Aged 59 years,3796
E09000005,Brent,60,Aged 60 years,3571
E09000005,Brent,61,Aged 61 years,3442
E09000005,Brent,62,Aged 62 years,3461
E09000005,Brent,63,Aged 63 years,3061
E09000005,Brent,64,Aged 64 years,2853
E09000005,Brent,65,Aged 65 years,2731
E09000005,Brent,66,Aged 66 years,2624
E09000005,Brent,67,Aged 67 years,2336
E09000005,Brent,68,Aged 68 years,2408
E09000005,Brent,69,Aged 69 years,2199
E09000005,Brent,70,Aged 70 years,2107
E09000005,Brent,71,Aged 71 years,2073
E09000005,Brent,72,Aged 72 years,1906
E09000005,Brent,73,Aged 73 years,1807
E09000005,Brent,74,Aged 74 years,1717
E09000005,Brent,75,Aged 75 years,1488
E09000005,Brent,76,Aged 76 years,1489
E09000005,Brent,77,Aged 77 years,1373
E09000005,Brent,78,Aged 78 years,1390
E09000005,Brent,79,Aged 79 years,1248
E09000005,Brent,80,Aged 80 years,1118
E09000005,Brent,81,Aged 81 years,1197
E09000005,Brent,82,Aged 82 years,1104
E09000005,Brent,83,Aged 83 years,1035
E09000005,Brent,84,Aged 84 years,1024
E09000005,Brent,85,Aged 85 years,854
E09000005,Brent,86,Aged 86 years,779
E09000005,Brent,87,Aged 87 years,641
E09000005,Brent,88,Aged 88 years,574
E09000005,Brent,89,Aged 89 years,508
E09000005,Brent,90,Aged 90 years,435
E09000005,Brent,91,Aged 91 years,351
E09000005,Brent,92,Aged 92 years,273
E09000005,Brent,93,Aged 93 years,204
E09000005,Brent,94,Aged 94 years,149
E09000005,Brent,95,Aged 95 years,132
E09000005,Brent,96,Aged 96 years,97
E09000005,Brent,97,Aged 97 years,63
E09000005,Brent,98,Aged 98 years,49
E09000005,Brent,99,Aged 99 years,31
E09000005,Brent,100,Aged 100 years and over,43
E09000006,Bromley,0,Aged under 1 year,3657
E09000006,Bromley,1,Aged 1 year,3835
E09000006,Bromley,2,Aged 2 years,3891
E09000006,Bromley,3,Aged 3 years,3997
E09000006,Bromley,4,Aged 4 years,4111
E09000006,Bromley,5,Aged 5 years,4114
E09000006,Bromley,6,Aged 6 years,4057
E09000006,Bromley,7,Aged 7 years,4023
E09000006,Bromley,8,Aged 8 years,4181
E09000006,Bromley,9,Aged 9 years,4252
E09000006,Bromley,10,Aged 10 years,4422
E09000006,Bromley,11,Aged 11 years,4295
E09000006,Bromley,12,Aged 12 years,4119
E09000006,Bromley,13,Aged 13 years,4042
E09000006,Bromley,14,Aged 14 years,4046
E09000006,Bromley,15,Aged 15 years,3861
E09000006,Bromley,16,Aged 16 years,3941
E09000006,Bromley,17,Aged 17 years,3794
E09000006,Bromley,18,Aged 18 years,3230
E09000006,Bromley,19,Aged 19 years,2389
E09000006,Bromley,20,Aged 20 years,2281
E09000006,Bromley,21,Aged 21 years,2575
E09000006,Bromley,22,Aged 22 years,3046
E09000006,Bromley,23,Aged 23 years,3284
E09000006,Bromley,24,Aged 24 years,3490
E09000006,Bromley,25,Aged 25 years,3366
E09000006,Bromley,26,Aged 26 years,3426
E09000006,Bromley,27,Aged 27 years,3739
E09000006,Bromley,28,Aged 28 years,3827
E09000006,Bromley,29,Aged 29 years,3967
E09000006,Bromley,30,Aged 30 years,4049
E09000006,Bromley,31,Aged 31 years,4456
E09000006,Bromley,32,Aged 32 years,4479
E09000006,Bromley,33,Aged 33 years,4798
E09000006,Bromley,34,Aged 34 years,4645
E09000006,Bromley,35,Aged 35 years,4812
E09000006,Bromley,36,Aged 36 years,4785
E09000006,Bromley,37,Aged 37 years,4992
E09000006,Bromley,38,Aged 38 years,4971
E09000006,Bromley,39,Aged 39 years,5229
E09000006,Bromley,40,Aged 40 years,5126
E09000006,Bromley,41,Aged 41 years,5136
E09000006,Bromley,42,Aged 42 years,5257
E09000006,Bromley,43,Aged 43 years,4838
E09000006,Bromley,44,Aged 44 years,4685
E09000006,Bromley,45,Aged 45 years,4621
E09000006,Bromley,46,Aged 46 years,4831
E09000006,Bromley,47,Aged 47 years,4699
E09000006,Bromley,48,Aged 48 years,4760
E09000006,Bromley,49,Aged 49 years,4793
E09000006,Bromley,50,Aged 50 years,4843
E09000006,Bromley,51,Aged 51 years,4635
E09000006,Bromley,52,Aged 52 years,4815
E09000006,Bromley,53,Aged 53 years,4767
E09000006,Bromley,54,Aged 54 years,4866
E09000006,Bromley,55,Aged 55 years,4716
E09000006,Bromley,56,Aged 56 years,4589
E09000006,Bromley,57,Aged 57 years,4731
E09000006,Bromley,58,Aged 58 years,4229
E09000006,Bromley,59,Aged 59 years,4081
E09000006,Bromley,60,Aged 60 years,4188
